Part Name, Description, Quantity, Unit,Price Used, Total Price, Link
KB2040, Microcontroller, 1, piece, $8.95, $8.95, https://www.digikey.com/en/products/detail/adafruit-industries-llc/5302/15794634
5.5 Inch OLED LCD Display Green / Yellow Color TZT 256x64 Drive SSD1322 Interface SPI/ 8-bit Parallel Port For Arduino UNO R3, OLED Display, 1, piece, $35.83, $35.83, https://www.aliexpress.us/item/3256808352565291.html?spm=a2g0o.productlist.main.3.6bafURFAURFAOr&algo_pvid=9c70e8cb-694b-4470-bab0-30f89305f692&algo_exp_id=9c70e8cb-694b-4470-bab0-30f89305f692-2&pdp_ext_f=%7B%22order%22%3A%2273%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2142.24%2133.61%21%21%2142.24%2133.61%21%402101ea8c17748839455165945e26b0%2112000056542368261%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3656573b%3Bm03_new_user%3A-29895%3BpisId%3A5000000203290789&curPageLogUid=hwy6wPt4U5Ww&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008538880043%7C_p_origin_prod%3A
360 Degree Rotary Encoder EC11 With Push Button 5Pin 20 Positions 20 Pulse Code Switch Handle 15/20MM Digital Potentiometer, G 20mm Plum handle Rotary Encoder, 1, piece, $0.99, $0.99, https://www.aliexpress.us/item/3256807457768762.html?src=google&gatewayAdapt=glo2usa
Cherry MX HP 5 Pins Black Switch Hyperglide 60g Linear Custom Hot Swap MX Switches Mechanical Keyboard Gaming Switch Lubricatde, Cherry MX Black, 1, 10 piece, $7.75, $7.75, https://www.aliexpress.us/item/3256808625020299.html?spm=a2g0o.productlist.main.9.47a4LXGALXGACs&algo_pvid=672ce458-311f-48c1-8c45-7feae7a411af&algo_exp_id=672ce458-311f-48c1-8c45-7feae7a411af-8&pdp_ext_f=%7B%22order%22%3A%2216%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%218.25%217.75%21%21%218.25%217.75%21%402103212517768078388118751e500d%2112000046764301528%21sea%21US%213107961229%21ABX%211%210%21n_tag%3A-29910%3Bd%3A7f193b09%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=G7crrMlf338z&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008811335051%7C_p_origin_prod%3A
100pcs 50V monolithic ceramic capacitor 10PF ~ 10UF 22PF 47NF 220NF 1NF 4.7UF 1UF 100NF 330NF 0.1UF 102 104 105 106 103 473 334, Capacitor(100 NF), 4, pieces, $2.04, $2.04, https://www.aliexpress.us/item/2251832786944590.html?spm=a2g0o.productlist.main.13.290000RT00RTS6&utparam-url=scene%3Asearch%7Cquery_from%3Apc_back_same_best%7Cx_object_id%3A32973259342%7C_p_origin_prod%3A&algo_pvid=dc683ae5-2386-4bcc-904c-ac55f6a2494e&algo_exp_id=dc683ae5-2386-4bcc-904c-ac55f6a2494e&pdp_ext_f=%7B%22order%22%3A%228888%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.04%211.54%21%21%2113.81%2110.42%21%40210321２３１７７６８０９２１８８８９５３０５ea２３２%２１６６６５１０７４２９３％２１sea％２１US％２１３１０７９６１２２９％２１ABX％２１１％２１０％２１n_tag％３Ａ－２９９１０％３Ｂd％３Ａ７ｆ１９３ｂ０９％３Ｂm０３_new_user％３Ａ－２９８９５％３ＢpisId％３Ａ５００００００２０４８８６２６１＆gatewayAdapt＝４itemAdapt
100PCS/LOT 1/4W 1% Metal Film Resistor 0.25W 0.1 0.15 1.5 12 33 47 68 100 150 240 560 1K 3.3K 8.2K 10K 100K 680K 1M 10M 22M ohms, Resistors 10kΩ, 2, pieces, $0.0099, $0.99, https://www.aliexpress.us/item/3256801441680644.html?spm=a2g0o.productlist.main.13.78b17gul7gulLn&utparam-url=scene%3Asearch%7Cquery_from%3Apc_back_same_best%7Cx_object_id%3A1005001627995396%7C_p_origin_prod%3A&algo_pvid=aa089d56-871d-4260-9a4d-ae38061e27d3&algo_exp_id=aa089d56-871d-4260-9a4d-ae38061e27d3&pdp_ext_f=%7B%22order%22%3A%224919%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.44%210.99%21%21%219.73%216.68%21%402103212317768094340101448ea232%2112000016885313362%21sea%21US%213107961229%21ABX%211%210%21n_tag%3A-29910%3Bd%3A7f193b09%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&gatewayAdapt=4itemAdapt
USB C Cable, USB C Cable, 1, pieces, $5.99, $5.99,https://a.co/d/0d05Bpac
M3 x 12mm Screws, M3 x 12mm Screws, 4, pieces, $0.48 , $5.99,https://a.co/d/0d2OkMbH
M3 4mm Spacers(Nylon),,4,pieces,$0.22,$5.41, https://a.co/d/0bYEqd7h
Filament,Just Filament,107.35,grams,$1.50,$13.99, https://a.co/d/03jPNyWm
Super Glue, Optional, Depends, Depends, $2.12, $2.12, https://a.co/d/06pQ8V2r
